date,hour,type,1010A
20220101,0,PM2.5,25
20220101,1,PM2.5,24
20220101,2,PM2.5,24
20220101,3,PM2.5,24
20220101,4,PM2.5,26
20220101,5,PM2.5,26
20220101,6,PM2.5,27
20220101,7,PM2.5,29
20220101,8,PM2.5,30
20220101,9,PM2.5,35
20220101,10,PM2.5,34
20220101,11,PM2.5,34
20220101,12,PM2.5,37
20220101,13,PM2.5,28
20220101,14,PM2.5,24
20220101,15,PM2.5,16
20220101,16,PM2.5,12
20220101,17,PM2.5,9
20220101,18,PM2.5,7
20220101,19,PM2.5,8
20220101,20,PM2.5,7
20220101,21,PM2.5,5
20220101,22,PM2.5,5
20220101,23,PM2.5,7
20220102,0,PM2.5,7
20220102,1,PM2.5,8
20220102,2,PM2.5,10
20220102,3,PM2.5,10
20220102,4,PM2.5,11
20220102,5,PM2.5,12
20220102,6,PM2.5,11
20220102,7,PM2.5,10
20220102,8,PM2.5,11
20220102,9,PM2.5,13
20220102,10,PM2.5,14
20220102,11,PM2.5,14
20220102,12,PM2.5,11
20220102,13,PM2.5,12
20220102,14,PM2.5,13
20220102,15,PM2.5,14
20220102,16,PM2.5,14
20220102,17,PM2.5,14
20220102,18,PM2.5,16
20220102,19,PM2.5,24
20220102,20,PM2.5,25
20220102,21,PM2.5,18
20220102,22,PM2.5,18
20220102,23,PM2.5,18
20220103,0,PM2.5,16
20220103,1,PM2.5,15
20220103,2,PM2.5,15
20220103,3,PM2.5,15
20220103,4,PM2.5,15
20220103,5,PM2.5,19
20220103,6,PM2.5,19
20220103,7,PM2.5,23
20220103,8,PM2.5,31
20220103,9,PM2.5,22
20220103,10,PM2.5,30
20220103,11,PM2.5,30
20220103,12,PM2.5,17
20220103,13,PM2.5,12
20220103,14,PM2.5,11
20220103,15,PM2.5,11
20220103,16,PM2.5,10
20220103,17,PM2.5,9
20220103,18,PM2.5,15
20220103,19,PM2.5,28
20220103,20,PM2.5,28
20220103,21,PM2.5,29
20220103,22,PM2.5,28
20220103,23,PM2.5,24
20220104,0,PM2.5,24
20220104,1,PM2.5,12
20220104,2,PM2.5,9
20220104,3,PM2.5,8
20220104,4,PM2.5,8
20220104,5,PM2.5,8
20220104,6,PM2.5,11
20220104,7,PM2.5,13
20220104,8,PM2.5,10
20220104,9,PM2.5,14
20220104,10,PM2.5,16
20220104,11,PM2.5,24
20220104,12,PM2.5,33
20220104,13,PM2.5,36
20220104,14,PM2.5,40
20220104,15,PM2.5,44
20220104,16,PM2.5,39
20220104,17,PM2.5,36
20220104,18,PM2.5,38
20220104,19,PM2.5,47
20220104,20,PM2.5,45
20220104,21,PM2.5,43
20220104,22,PM2.5,45
20220104,23,PM2.5,47
20220105,0,PM2.5,44
20220105,1,PM2.5,45
20220105,2,PM2.5,46
20220105,3,PM2.5,49
20220105,4,PM2.5,51
20220105,5,PM2.5,52
20220105,6,PM2.5,56
20220105,7,PM2.5,58
20220105,8,PM2.5,61
20220105,9,PM2.5,61
20220105,10,PM2.5,62
20220105,11,PM2.5,62
20220105,12,PM2.5,69
20220105,13,PM2.5,69
20220105,14,PM2.5,69
20220105,15,PM2.5,69
20220105,16,PM2.5,70
20220105,17,PM2.5,77
20220105,18,PM2.5,81
20220105,19,PM2.5,86
20220105,20,PM2.5,80
20220105,21,PM2.5,72
20220105,22,PM2.5,70
20220105,23,PM2.5,69
20220106,0,PM2.5,67
20220106,1,PM2.5,63
20220106,2,PM2.5,63
20220106,3,PM2.5,61
20220106,4,PM2.5,62
20220106,5,PM2.5,58
20220106,6,PM2.5,60
20220106,7,PM2.5,55
20220106,8,PM2.5,57
20220106,9,PM2.5,56
20220106,10,PM2.5,55
20220106,11,PM2.5,63
20220106,12,PM2.5,59
20220106,13,PM2.5,50
20220106,14,PM2.5,27
20220106,15,PM2.5,16
20220106,16,PM2.5,13
20220106,17,PM2.5,16
20220106,18,PM2.5,30
20220106,19,PM2.5,49
20220106,20,PM2.5,61
20220106,21,PM2.5,70
20220106,22,PM2.5,48
20220106,23,PM2.5,40
20220107,0,PM2.5,40
20220107,1,PM2.5,44
20220107,2,PM2.5,51
20220107,3,PM2.5,60
20220107,4,PM2.5,64
20220107,5,PM2.5,65
20220107,6,PM2.5,65
20220107,7,PM2.5,68
